Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Difference,Difference,Difference,Difference,Difference,Difference
R140,0R,TopLayer,RESC1608X55X25ML10T15,106.1750,31.4500,90,RC0603JR-070RL,0.019531078955137147,0.019531078955137147,0.019531078955137147,0.019531078955137147,0.019531078955137147,0.019531078955137147
R139,0R,TopLayer,RESC1608X55X25ML10T15,104.5500,31.4250,90,RC0603JR-070RL,0.11908486280079685,0.11908486280079685,0.11908486280079685,0.11908486280079685,0.11908486280079685,0.11908486280079685
P11,L-KLS1-XM1-3.00-2X02-R,TopLayer,66200421022,82.7518,5.3313,0,"THT Male Header WR-MPC3, with Snap-in Plastic Pegs, Right Angled, Dual Row, pitch 3 mm, 4 pins",0.22611119641579586,0.22611119641579586,0.22611119641579586,0.22611119641579586,0.22611119641579586,0.22611119641579586
J8,0430450800,TopLayer,0430450800_1,5.7450,117.1000,270,Connector,0.17658465126360667,0.17658465126360667,0.17658465126360667,0.17658465126360667,0.17658465126360667,0.17658465126360667
P10,L-KLS1-XM1-3.00-2X02-R,TopLayer,66200421022,94.4132,5.3313,0,"THT Male Header WR-MPC3, with Snap-in Plastic Pegs, Right Angled, Dual Row, pitch 3 mm, 4 pins",0.291965132337975,0.291965132337975,0.291965132337975,0.291965132337975,0.291965132337975,0.291965132337975
J7,0430450800,TopLayer,0430450800_1,26.5349,5.2813,0,Connector,0.28792878733831306,0.28792878733831306,0.28792878733831306,0.28792878733831306,0.28792878733831306,0.28792878733831306
J5,L-KLS1-XM1-3.00-2X04-R,TopLayer,0430450800_1,46.7064,5.2813,0,Connector,0.29705632978496216,0.29705632978496216,0.29705632978496216,0.29705632978496216,0.29705632978496216,0.29705632978496216
J4,0430450800,TopLayer,0430450800_1,66.1374,5.2813,0,Connector,0.30419239992065084,0.30419239992065084,0.30419239992065084,0.30419239992065084,0.30419239992065084,0.30419239992065084
J3,0430450800,TopLayer,0430450800_1,113.8640,5.2813,0,Connector,0.3172510279216821,0.3172510279216821,0.3172510279216821,0.3172510279216821,0.3172510279216821,0.3172510279216821
R13,10 kOhms,TopLayer,RES_0603_1608,134.1120,62.7130,0,RES SMD 10K OHM 1% 1/8W 0603,0.4356658897146381,0.4356658897146381,0.4356658897146381,0.4356658897146381,0.4356658897146381,0.4356658897146381
